[2026-04-03T10:25:31.381Z] GET http://127.0.0.1:8766/index.html → 200 (4ms, 2568B)
[2026-04-03T10:25:31.391Z] GET https://cdn.jsdelivr.net/gh/KilledByAPixel/LittleJS@v1.18.0/dist/littlejs.js → pending (?ms, ?B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/sensor.js → 200 (16ms, 4745B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/particles.js → 200 (18ms, 6717B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/levels/level1.js → 200 (17ms, 858B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/levels/level2.js → 200 (17ms, 927B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/levels/level3.js → 200 (18ms, 1087B)
[2026-04-03T10:25:31.391Z] GET http://127.0.0.1:8766/game.js → 200 (17ms, 17585B)
[2026-04-03T10:27:58.998Z] GET http://127.0.0.1:8766/index.html → 200 (1ms, 2503B)
[2026-04-03T10:27:59.003Z] GET http://127.0.0.1:8766/littlejs.js → 200 (3ms, 479280B)
[2026-04-03T10:27:59.003Z] GET http://127.0.0.1:8766/sensor.js → 200 (?ms, 4745B)
[2026-04-03T10:27:59.003Z] GET http://127.0.0.1:8766/particles.js → 200 (?ms, 6717B)
[2026-04-03T10:27:59.003Z] GET http://127.0.0.1:8766/levels/level1.js → 200 (1ms, 858B)
[2026-04-03T10:27:59.004Z] GET http://127.0.0.1:8766/levels/level2.js → 200 (?ms, 927B)
[2026-04-03T10:27:59.004Z] GET http://127.0.0.1:8766/levels/level3.js → 200 (?ms, 1087B)
[2026-04-03T10:27:59.004Z] GET http://127.0.0.1:8766/game.js → 200 (?ms, 17585B)
[2026-04-03T10:28:02.907Z] GET http://127.0.0.1:8766/index.html → 200 (1ms, 2503B)
[2026-04-03T10:28:02.910Z] GET http://127.0.0.1:8766/littlejs.js → 304 (2ms, ?B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/sensor.js → 200 (?ms, 4745B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/particles.js → 200 (?ms, 6717B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/levels/level1.js → 200 (?ms, 858B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/levels/level2.js → 200 (?ms, 927B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/levels/level3.js → 200 (?ms, 1087B)
[2026-04-03T10:28:02.911Z] GET http://127.0.0.1:8766/game.js → 200 (?ms, 17585B)
